"LatD", "LatM", "LatS", "LonD", "LonM", "LonS"
   2018,000,6,9,09,90
   2018,000,6,9,12,6
   2018,000,6,9,13,102
   2018,000,6,9,14,27
   2018,000,6,9,15,15
   2018,000,6,9,16,9
   2018,000,6,9,17,9
   2018,000,6,9,18,6
   2018,000,6,9,99,..C
   2018,000,6,9,9999,687
   2018,000,6,9,77,687
   2018,000,9,1,01,0
   2018,000,9,1,02,0
   2018,000,9,1,03,0
   2018,000,9,1,04,0
   2018,000,9,1,05,0
   2018,000,9,1,06,0
   2018,000,9,1,07,0
   2018,000,9,1,08,0
   2018,000,9,1,09,0
   2018,000,9,1,12,0
   2018,000,9,1,13,0
   2018,000,9,1,14,0
   2018,000,9,1,15,0
   2018,000,9,1,16,0
   2018,000,9,1,17,0
   2018,000,9,1,18,0
   2018,000,9,1,99,..C
   2018,000,9,1,9999,0
   2018,000,9,1,77,0
   2018,000,9,2,01,0
   2018,000,9,2,02,0
   2018,000,9,2,03,0
   2018,000,9,2,04,0
   2018,000,9,2,05,0
   2018,000,9,2,06,0
   2018,000,9,2,07,0
   2018,000,9,2,08,0
   2018,000,9,2,09,0
   2018,000,9,2,12,0
   2018,000,9,2,13,0
   2018,000,9,2,14,0
   2018,000,9,2,15,0
   2018,000,9,2,16,0
   2018,000,9,2,17,0
   2018,000,9,2,18,0
   2018,000,9,2,99,..C
   2018,000,9,2,9999,0
   2018,000,9,2,77,0
   2018,000,9,9,01,0
   2018,000,9,9,02,0
   2018,000,9,9,03,0
   2018,000,9,9,04,0
   2018,000,9,9,05,0
   2018,000,9,9,06,0
   2018,000,9,9,07,0
   2018,000,9,9,08,0
   2018,000,9,9,09,0
   2018,000,9,9,12,0
   2018,000,9,9,13,0
   2018,000,9,9,14,0
   2018,000,9,9,15,0
   2018,000,9,9,16,0
   2018,000,9,9,17,0
   2018,000,9,9,18,0
   2018,000,9,9,99,..C
   2018,000,9,9,9999,0
   2018,000,9,9,77,0
   2018,000,77,1,01,1155
   2018,000,77,1,02,10371
   2018,000,77,1,03,3111
   2018,000,77,1,04,2016
   2018,000,77,1,05,345
   2018,000,77,1,06,1068
   2018,000,77,1,07,741
   2018,000,77,1,08,1569
   2018,000,77,1,09,3015
   2018,000,77,1,12,198
   2018,000,77,1,13,3603
   2018,000,77,1,14,1176
   2018,000,77,1,15,600
   2018,000,77,1,16,240
   2018,000,77,1,17,267
   2018,000,77,1,18,270
   2018,000,77,1,99,..C
   2018,000,77,1,9999,29748
   2018,000,77,1,77,29745
   2018,000,77,2,01,1122
   2018,000,77,2,02,9861
   2018,000,77,2,03,2949
   2018,000,77,2,04,1959
   2018,000,77,2,05,345
   2018,000,77,2,06,1035
   2018,000,77,2,07,699
   2018,000,77,2,08,1437
   2018,000,77,2,09,2949
   2018,000,77,2,12,183
   2018,000,77,2,13,3450
   2018,000,77,2,14,1119
   2018,000,77,2,15,600
   2018,000,77,2,16,204
   2018,000,77,2,17,261
   2018,000,77,2,18,231
   2018,000,77,2,99,..C
   2018,000,77,2,9999,28410
   2018,000,77,2,77,28407
   2018,000,77,9,01,2277
   2018,000,77,9,02,20232
   2018,000,77,9,03,6057
   2018,000,77,9,04,3978
   2018,000,77,9,05,687
   2018,000,77,9,06,2103
   2018,000,77,9,07,1440
   2018,000,77,9,08,3006
   2018,000,77,9,09,5964
   2018,000,77,9,12,381
   2018,000,77,9,13,7053
   2018,000,77,9,14,2295
   2018,000,77,9,15,1203
   2018,000,77,9,16,444
   2018,000,77,9,17,528
   2018,000,77,9,18,504
   2018,000,77,9,99,6
   2018,000,77,9,9999,58158
   2018,000,77,9,77,58152
   2018,000,9999,1,01,1155
   2018,000,9999,1,02,10371
   2018,000,9999,1,03,3111
   2018,000,9999,1,04,2016
   2018,000,9999,1,05,345
   2018,000,9999,1,06,1068
   2018,000,9999,1,07,741
   2018,000,9999,1,08,1569
   2018,000,9999,1,09,3015
   2018,000,9999,1,12,198
   2018,000,9999,1,13,3603
   2018,000,9999,1,14,1176
   2018,000,9999,1,15,600
   2018,000,9999,1,16,240
   2018,000,9999,1,17,267
   2018,000,9999,1,18,270
   2018,000,9999,1,99,3
   2018,000,9999,1,9999,29748
   2018,000,9999,1,77,29745
   2018,000,9999,2,01,1122
   2018,000,9999,2,02,9861
   2018,000,9999,2,03,2949
   2018,000,9999,2,04,1959
   2018,000,9999,2,05,345
   2018,000,9999,2,06,1035
   2018,000,9999,2,07,699
   2018,000,9999,2,08,1437
   2018,000,9999,2,09,2949
   2018,000,9999,2,12,183
   2018,000,9999,2,13,3450
   2018,000,9999,2,14,1119
   2018,000,9999,2,15,600
   2018,000,9999,2,16,204
   2018,000,9999,2,17,261
   2018,000,9999,2,18,231
   2018,000,9999,2,99,3
   2018,000,9999,2,9999,28410
   2018,000,9999,2,77,28407
   2018,000,9999,9,01,2277
   2018,000,9999,9,02,20232
   2018,000,9999,9,03,6057
   2018,000,9999,9,04,3978
   2018,000,9999,9,05,687
   2018,000,9999,9,06,2103
   2018,000,9999,9,07,1440
   2018,000,9999,9,08,3006
   2018,000,9999,9,09,5964
   2018,000,9999,9,12,381
   2018,000,9999,9,13,7053
   2018,000,9999,9,14,2295
   2018,000,9999,9,15,1203
